"id";"uri";"urlDocumentoPauta";"dataHoraInicio";"dataHoraFim";"situacao";"descricao";"descricaoTipo";"localExterno";"localCamara.nome";"localCamara.predio";"localCamara.sala";"localCamara.andar"
"54415";"https://dadosabertos.camara.leg.br/api/v2/eventos/54415";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1699873";"2018-12-12T17:49:00";"2018-12-12T18:25:00";"Encerrada";"Eleição das agraciadas da Medalha Mietta Santiago para o ano de 2019 pela Bancada Feminina (Resolução 21/2017 e Ato da Mesa 158/2017).";"Reunião Deliberativa";"";"Anexo II, Plenário 01";"";"";""
"54175";"https://dadosabertos.camara.leg.br/api/v2/eventos/54175";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1694223";"2018-12-12T15:28:54";"2018-12-12T18:21:20";"Encerrada (Final)";"Requerimento nº 246/2018.
Iniciativa do deputado Capitão Fábio Abreu.


CONVIDADOS:

Confirmados

PAULO SÉRGIO DE CASTILHO, 1º Procurador de Justiça do Juizado Especial Criminal de São Paulo e do Anexo do Torcedor;

MAJOR PM HILMAR FAULHABER NETO, Subcomandante do Batalhão Especializado de Policiamento em Estádios da Polícia Militar do Estado do Rio de Janeiro;

ALEX MINDUÍM, Presidente da Associação Nacional das Torcidas Organizadas do Brasil (Anatorg);

PEDRO SAMPAIO, Presidente da Torcida Organizada Força Jovem (Vasco);

RODRIGO GONZALEZ TAPIA, Presidente da Torcida Organizada Gaviões da Fiel (CORINTHIANS).


Aguardando confirmação

LEANDRO CRUZ FRÓES DA SILVA, Ministro do Esporte;

JOSÉ EDUARDO CIOTOLA GUSSEM, Procurador-Geral de Justiça do Estado do Rio de Janeiro;

Representante da Torcida Organizada Raça Rubro Negra (Flamengo);

Representante da Torcida Organizada Mancha Verde (Palmeiras);

Representante da Torcida Organizada Independente (São Paulo);

Representante da Torcida Organizada Camisa 12 (Internacional);

Comandante do Batalhão Especializado em Policiamento de Eventos São Paulo;

Comandante do Batalhão Especializado em Policiamento de Eventos de Minas Gerais;

WANDERLEY BENEVIDES, Consultor de Segurança em Estádios;

Representantes da grande mídia nacional esportiva.



Ausência justificada

DARCY DE SOUZA FILHO, Procurador-Geral de Justiça do Estado de Minas Gerais;

FABIANO DALLAZEN; Procurador-Geral de Justiça do Estado do Rio Grande do Sul;

CEL MÁRIO YUKIO IKEDA, Comandante-Geral da Brigada Militar do Estado do Rio Grande do Sul;

MAURO CEZAR PEREIRA, ESPN;

ERIC FARIA, TV Globo.";"Audiência Pública";"";"Anexo II, Plenário 04";"";"";""
"54406";"https://dadosabertos.camara.leg.br/api/v2/eventos/54406";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1699536";"2018-12-12T15:00:00";"";"Cancelada";"- Discussão e Votação do Parecer";"Reunião Deliberativa";"";"Anexo II, Plenário 13";"";"";""
"54374";"https://dadosabertos.camara.leg.br/api/v2/eventos/54374";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1698524";"2018-12-12T14:58:28";"2018-12-12T16:56:21";"Encerrada (Final)";"Expositores:

  VALDEMAR MOREIRA DA SILVA, Diretor-Geral da Associação Nacional dos Petroleiros e Petroleiras - ANPP; (Confirmado)

  PAULO CÉSAR CHAMADOIRO MARTIN, Diretor da  Federação Única dos Petroleiros - FUP; (Confirmado)

  ADAEDSON COSTA, Secretário-Geral da Federação Nacional dos Petroleiros - FNP; (Confirmado)

  LUIZ EMANNUEL ANDRADE FARIAS, Coordenador-Geral de Representação Judicial Substituto da Superintendência Nacional de Previdência Complementar - PREVIC. (Confirmado)

 HILTON DE ENZO MITSUNAGA, Coordenador-Geral de Processo Sancionador da Diretoria de Fiscalização e Monitoramento da Superintendência Nacional de Previdência Complementar - PREVIC. (Confirmado)

  DIRLENE GREGÓRIO PIRES DA SILVA, Chefe de Divisão da Coordenação Geral de Representação Judicial da Procuradoria Federal junto à PREVIC. (Confirmada)


Sugestões nº 149/2018 e 156/2018 - CLP, do Sindicato dos Petroleiros do Rio de Janeiro.";"Audiência Pública";"";"Anexo II, Plenário 03";"";"";""
"54351";"https://dadosabertos.camara.leg.br/api/v2/eventos/54351";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1698073";"2018-12-12T14:57:00";"2018-12-12T15:05:00";"Encerrada";"Apresentação, discussão e votação do Relatório do Deputado Pauderney Avelino (DEM/AM)";"Reunião Deliberativa";"";"Anexo II, Sala 176A Piso Superior";"";"";""
"54352";"https://dadosabertos.camara.leg.br/api/v2/eventos/54352";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1698083";"2018-12-12T14:30:00";"";"Encerrada (Termo)";"Apresentação, discussão e votação do Relatório do Deputado Evair de Melo (PP/ES)";"Reunião Deliberativa";"";"Anexo II, Plenário 13";"";"";""
"54405";"https://dadosabertos.camara.leg.br/api/v2/eventos/54405";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1699508";"2018-12-12T14:30:00";"";"Encerrada (Termo)";"Discussão e votação do Relatório do Relator, Deputado Vinicius Carvalho (PRB/SP)";"Reunião Deliberativa";"";"Anexo II, Plenário 14";"";"";""
"54358";"https://dadosabertos.camara.leg.br/api/v2/eventos/54358";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1698160";"2018-12-12T15:57:10";"2018-12-12T16:26:03";"Encerrada (Final)";"PAUTA SUJEITA A ALTERAÇÕES

Oitivas das testemunhas arroladas pela defesa do Representado, Deputado Lúcio Vieira Lima, referentes ao Processo nº 17/18, <A HREF=""http://www.camara.gov.br/proposicoesWeb/fichadetramitacao?idProposicao=2167929"">Representação nº 19/18</A>, do Partido Socialismo e Liberdade - PSOL, e Rede Sustentabilidade - REDE:

1.THIAGO NASCIMENTO CASTRO SILVA (CONFIRMADO)
2.MARCOS MACHADO MELO (CONFIRMADO)
3.SENADOR WALTER PINHEIRO (A CONFIRMAR)
4.DEPUTADO ARNALDO JARDIM (A CONFIRMAR)
5.VICE-PREFEITO DE ITABUNA, SR. FERNANDO GOMES VITA (A CONFIRMAR)
6.VANDERLEI SIRAQUE (NÃO PODERÁ COMPARECER)
7.MANOEL CORREIA DOS SANTOS NETO (A CONFIRMAR)
8.ALCEU BARROS DE ARAÚJO (NÃO PODERÁ COMPARECER)
9.ANTÔNIO ALMIR SANTANA MELO (A CONFIRMAR)
10.LEANDRO SABOIA LAUDANO SANTOS (A CONFIRMAR)
11.RAIMUNDO SOUZA COSTA (A CONFIRMAR)
12.JOSÉ CARLOS ESMERALDO FERNANDES (A CONFIRMAR)
13.JOSÉ RONALDO SANTANA DE ALMEIDA (A CONFIRMAR)

<A HREF=""http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra;jsessionid=31BB4D600F61EBB6DFEF08647DA47D5C.proposicoesWeb2?codteor=1663931&filename=Tramitacao-REP+19/2018"">Defesa Escrita</A>

Relator: Deputado Hiran Gonçalves (PP/RR)";"Reunião";"";"Anexo II, Plenário 11";"";"";""
"54323";"https://dadosabertos.camara.leg.br/api/v2/eventos/54323";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1697712";"2018-12-12T14:57:20";"2018-12-12T17:44:29";"Encerrada";"Origem: Req. 334/18 - de autoria da deputada Flávia Morais.


Expositores confirmados:

- Lia Zanotta - Presidente da Associação Brasileira de Antropologia - ABA;
- Walter Bittar - Representante da Associação Brasileira de Designers de Interiores - ABD;
- Francisco Ladaga - Presidente da Associação Brasileira de Engenheiros Civis  - ABENC;
- Joel Krüger - Presidente do Conselho Federal de Engenharia e Agronomia - CONFEA;
- Eliana Azevedo - Presidente da Associação Nacional de Paisagismo - ANP;
- Heithor Zanini - Representante da Associação Nacional de História - ANPUH;
- Andrea Considera - Representante do Conselho Federal de Museologia - COFEM; 
- Luciano Guimarães - Presidente do Conselho de Arquitetura e Urbanismo - CAU/BR;
- Nivaldo Vieira de Andrade Júnior - Presidente do Instituto de Arquitetos do Brasil (IAB); 
- Beatriz Vicentin Gonçalves - Diretora de Documentação e Informação da Federação Nacional de Estudantes de Arquitetura e Urbanismo do Brasil (FeNEA); 
- Danilo Silva Batista - Representante da Associação Brasileira dos Escritórios de Arquitetura (AsBEA);
- Cícero Alvarez - Presidente da Federação Nacional dos Arquitetos e Urbanistas - FNA ; e
- João Carlos Correia - Presidente da Associação Brasileira de Ensino de Arquitetura e Urbanismo - ABEA.";"Audiência Pública";"";"Anexo II, Plenário 02";"";"";""
"54221";"https://dadosabertos.camara.leg.br/api/v2/eventos/54221";"https://www.camara.gov.br/internet/ordemdodia/mostrarIntegra.asp?CodTeor=1695181";"2018-12-12T14:40:00";"2018-12-12T18:32:00";"Encerrada";"Convidados:

- Sr. PAULO VANNUCHI - Ex-Ministro de Estado dos Direitos Humanos; 

- Sra. FABIANA GALERA SEVERO - Presidente do Conselho Nacional de Direitos Humanos; 

- DEPUTADA LUIZA ERUNDINA - Ex-Presidente da Subcomissão Parlamentar da Verdade, Memória e Justiça; 

- Sr. DOMINGOS SÁVIO DRESCH DA SILVEIRA -  Procurador Federal dos Direitos do Cidadão Substituto - MPF; 

- Prof. JOSÉ GERALDO DE SOUZA JÚNIOR - Doutor em Direito - UNB;

- Sra. ANTÔNIA FRANCISCA - Coordenadora Nacional do MST; 

- DEPUTADA MARIA DO ROSÁRIO - Ex-Ministra de Estado dos Direitos Humanos; 

- Sr. NILMÁRIO MIRANDA - Primeiro presidente da Comissão de Direitos Humanos e Minorias da Câmara dos Deputados e ex-ministro da Secretaria de Direitos Humanos; 

- Sra. DEISE BENEDITO - Especialista em Relações Raciais, Gênero, Raça e Direitos Humanos, Política Criminal e Penitenciária; 

- Sr. EDUARDO NUNES DE QUEIROZ - Defensor Nacional de Direitos Humanos, da Defensoria Pública da União; 

- Sra. MARIA DE LOURDES ROCHA LIMA NUNES - Secretária-Executiva do Movimento Nacional de Direitos Humanos.

*presenças confirmadas


Requerimento nº 62/18 -  de iniciativa do Deputado Luiz Couto.";"Audiência Pública";"";"Auditório Nereu Ramos";"";"";""
